År;Jan;Feb;Mar;Apr;Maj;Jun;Jul;Aug;Sep;Okt;Nov;Dec
2022;350.56;353.56;359.8;362.02;365.82;370.95;371.28
2021;338.09;339.01;339.54;340.37;341.04;341.32;342.23;343.99;345.74;346.44;348.03;352.47
2020;332.82;334.47;333.91;332.9;334.91;336.84;337.57;337.07;337.27;336.97;337;339.34
2019;328.56;331.02;331.79;334.11;334.95;334.47;335.8;334.39;335.95;336.04;336.36;337.68
2018;322.51;324.87;325.76;327.1;327.86;328.62;330.33;329.63;331.14;330.72;330.4;331.87
2017;317.5;319.73;319.68;321.54;321.74;321.97;323.69;323.18;323.62;323.38;324.04;325.23
2016;313.13;314.14;315.7;315.64;316.21;316.54;316.73;316.38;316.91;318;318.1;319.68
2015;310.75;312.93;313.19;313.16;314.24;313.33;313.43;312.81;314.06;314.29;313.75;314.21
2014;311.39;312.7;312.68;313.89;314.05;314.7;313.67;313.35;313.85;314.02;313.56;314.05
2013;312;313.39;314.65;314.03;314.54;313.99;313.55;313.84;315.05;314.4;314.2;315.04
2012;311.85;313.92;314.8;315.49;315.23;314.45;313.23;313.55;314.81;314.59;313.82;314.61
2011;306.15;308.02;310.11;311.44;312.02;311.28;311.13;311.23;313.41;313.42;314.16;314.78
2010;299.79;301.59;302.32;302.36;302.92;302.97;302.04;302.06;304.6;305.57;306.58;308.73
2009;297.88;297.95;298.8;299.26;299.45;300.17;298.8;299.42;300.35;301.11;301.03;301.69
2008;294.09;295.28;298.08;299.67;300.99;302.45;302.11;301.98;305.08;305.56;303.06;298.99
2007;285.01;286.45;288.33;289.79;289.48;289.95;289.49;289.41;292.3;293.85;295.75;296.32
2006;279.59;280.9;282.89;284.32;284.76;284.68;284.19;284.38;286.04;286.07;286.43;286.43
2005;277.9;279.2;279.8;280.2;280.3;280.4;279.4;279.9;281.9;282.4;281.7;281.8
2004;278;277.3;279.4;279.4;280.1;278.9;278.5;278.2;280.2;281;279.4;279.4
2003;276;278.4;279.8;278.8;278.5;277.7;276.8;276.7;278.7;278.9;278.3;278.6
2002;268.8;269.4;271.8;272.9;273.6;273.2;272.3;272.4;274.5;275.4;274.7;275.1
2001;261.7;262.6;264.6;266.9;268.7;268.3;266.9;267.6;269.9;269.1;269.2;269.5
2000;257.5;258.7;259.9;260;261.3;261.2;260;260.2;262;262.6;262.7;262.5
1999;256.2;256.3;257.3;257.9;258.3;258.7;257.6;257.6;259.4;259.7;259;259.6
1998;256.9;256.6;257;257.7;258.1;257.6;257;255.7;256.8;257.3;256.7;256.2
1997;254.6;254.2;255.2;257;257;257.4;257.3;257.4;259.8;259.6;259.2;259.1
1996;255.6;255.8;257;257.6;257.3;256.3;255.7;254.5;256;255.9;255.3;254.9
1995;251.3;252.3;253.3;255;255.3;255.1;254.8;254.5;256.2;256.9;256.8;256
1994;245.1;245.9;246.8;247.8;248.3;248.4;248.4;248.5;250.7;251;250.8;250.4
1993;241;241.6;242.7;243.7;243.1;242.3;241.9;242.3;244.5;245.2;245.3;244.3
1992;230.2;230.3;231.3;231.9;232;231.5;231.2;231.3;234.6;235.1;234;234.9
1991;218.9;225;225.8;227.1;227.3;227;227.1;226.7;229.2;230.1;231.1;230.8
1990;199;199.9;205.4;205.2;206.4;206.2;208.2;209.6;212;213.4;214.1;213.9
1989;183;184;184.7;186.5;187.3;187.9;187.9;188.7;190.2;191.8;192.2;192.8
1988;171.6;172.9;173.7;175.2;175.8;176.3;177.1;177.5;178.8;180.2;180.5;180.9
1987;164.4;164.4;164.7;165.1;165.2;164.9;166.9;167.8;169.4;170.1;170.7;170.7
1986;158.9;159;158.7;159.7;159.7;159.7;160.1;159.9;161.3;161.9;161.9;162.3
1985;149.6;151;152.1;152.7;154.5;153.9;153.8;153.8;154.5;155.5;156.5;157.1
1984;139.4;138.9;140.9;141.8;142.8;142.4;142.8;143.9;144.8;145.5;146.4;148.8
1983;129.1;128.8;129.3;130.3;131.1;131.8;132.9;133.5;134.5;135.6;136.4;137.5
1982;117.4;119;119.3;120.1;120.7;121.1;121.9;122.2;122.9;124.6;125.6;125.9
1981;107.2;109.3;109.8;110.5;111.2;111.6;112.6;113.5;114.3;115;115.4;114.9
1980;95.3;96.8;97.2;97.9;98.2;98.5;99.3;99.9;102.7;104.2;104.8;105.2
